Date,Forecast
2023-09-01,487.4386389320606
2023-09-02,544.3989534309401
2023-09-03,543.1439489409801
2023-09-04,541.8264926919295
2023-09-05,540.2326635741928
2023-09-06,540.2327585114184
2023-09-07,558.6973023934924
2023-09-08,551.1408289411132
2023-09-09,542.3188289390315
2023-09-10,552.3652174397985
2023-09-11,561.0395259467642
2023-09-12,560.3571343171247
2023-09-13,552.2477448281494
2023-09-14,551.7084840794538
2023-09-15,553.7010933253842
2023-09-16,544.6253990382564
2023-09-17,553.0167445821372
2023-09-18,550.7823087233921
2023-09-19,553.4230056473643
2023-09-20,554.5356575721148
2023-09-21,561.2661778040429
2023-09-22,567.4335255277132
2023-09-23,578.6466962780754
2023-09-24,584.0765643743051
2023-09-25,586.260217599897
2023-09-26,583.8289990376824
2023-09-27,583.8289990376828
2023-09-28,580.7436084242629
2023-09-29,582.0918675206485
2023-09-30,575.9343053482354
2023-10-01,578.2156967351275
2023-10-02,579.0599580113015
2023-10-03,585.2649609997208
2023-10-04,585.2444827434376
2023-10-05,573.8995287622378
2023-10-06,571.785876239803
2023-10-07,579.7089626872993
2023-10-08,581.3193541796659
2023-10-09,583.5093552344027
2023-10-10,583.2427464103473
2023-10-11,588.9561799135147
2023-10-12,588.9561799135147
2023-10-13,585.7328758530663
2023-10-14,582.5086583104298
2023-10-15,586.9712668532219
2023-10-16,588.253528340343
2023-10-17,587.9710499434277
2023-10-18,590.2577885617803
2023-10-19,589.0563975264671
2023-10-20,593.9955711597768
2023-10-21,605.5827869796759
2023-10-22,616.0699125198701
2023-10-23,615.2923034497097
2023-10-24,615.29230344971
2023-10-25,613.285434333902
2023-10-26,616.0977815302036
2023-10-27,622.064650294433
2023-10-28,618.3917835693615
2023-10-29,612.3602623881711
2023-10-30,610.3416527203268
2023-10-31,609.6116523687484
2023-11-01,602.3964800714393
2023-11-02,603.8299580113016
2023-11-03,611.3957390623503
2023-11-04,617.8674789112285
2023-11-05,618.3386523335905
2023-11-06,619.3225658509358
2023-11-07,617.0405212736088
2023-11-08,617.6275646204097
2023-11-09,615.6206955046011
2023-11-10,611.5206965593385
2023-11-11,597.8632215024215
2023-11-12,605.7109152270265
2023-11-13,606.8566983875481
2023-11-14,606.4186981766006
2023-11-15,607.278784940518
2023-11-16,605.5176549001144
2023-11-17,603.5173088991808
2023-11-18,591.7530525451104
2023-11-19,586.2950953645432
2023-11-20,585.6952255104192
2023-11-21,586.2506605605355
2023-11-22,577.6156624942175
2023-11-23,605.4251345275561
2023-11-24,607.3611356526079
2023-11-25,604.8033544609283
2023-11-26,596.0269653592981
2023-11-27,595.6810086709418
2023-11-28,594.5161820229887
2023-11-29,607.2058748334866
2023-11-30,632.0596518765391
2023-12-01,616.5046118345763
2023-12-02,647.2549969985245
2023-12-03,627.7424378145311
2023-12-04,630.3640912510708
2023-12-05,633.9379190592352
2023-12-06,630.3200937824395
2023-12-07,631.5760935011757
2023-12-08,645.7930888954932
2023-12-09,648.4008711419098
2023-12-10,641.5511592212065
2023-12-11,706.8175083359662
2023-12-12,703.9517436257495
2023-12-13,703.0524367353931
2023-12-14,701.9644753638756
2023-12-15,701.964540168837
2023-12-16,723.1540344789761
2023-12-17,714.4823977157081
2023-12-18,705.289684492268
2023-12-19,717.2510897390044
2023-12-20,723.1722468286712
2023-12-21,722.7064404727495
2023-12-22,713.4002914191158
2023-12-23,712.7814481740694
2023-12-24,714.4114030064144
2023-12-25,704.4361242989047
2023-12-26,714.3314782858192
2023-12-27,712.8062332803192
2023-12-28,714.6087955595468
2023-12-29,715.8856493437846
2023-12-30,723.6094397196046
2023-12-31,729.8442814591378
2024-01-01,743.1417077142797
2024-01-02,749.5396616201242
2024-01-03,751.0302419664082
2024-01-04,749.3706714064464
2024-01-05,749.3706714064468
2024-01-06,745.8299480292958
2024-01-07,748.3467602361424
2024-01-08,740.1825103085233
2024-01-09,742.4095035333768
2024-01-10,742.9858034928416
2024-01-11,747.2213915407852
2024-01-12,747.1978911643887
2024-01-13,734.1786826404417
2024-01-14,732.2947112466148
2024-01-15,740.5532530266835
2024-01-16,742.0397375944059
2024-01-17,743.5346510230924
2024-01-18,743.3526615622086
2024-01-19,749.909266576976
2024-01-20,749.9092665769762
2024-01-21,746.4965763227632
2024-01-22,743.3720887438647
2024-01-23,747.9354346237653
2024-01-24,748.8107172689671
2024-01-25,748.6178951020785
2024-01-26,751.2421037997455
2024-01-27,749.8634150511208
2024-01-28,754.9869380113391
2024-01-29,767.6097336567162
2024-01-30,781.3224687311318
2024-01-31,780.791666136888
2024-02-01,780.7916661368881
2024-02-02,778.4886292499807
2024-02-03,781.7160142751704
2024-02-04,788.2107466858496
2024-02-05,782.6661802372975
2024-02-06,776.2669677756606
2024-02-07,774.8890475718277
2024-02-08,774.3907430955993
2024-02-09,766.1107771450507
2024-02-10,767.7558034928417
2024-02-11,776.3480980090281
2024-02-12,782.3463723734956
2024-02-13,783.1409126479765
2024-02-14,783.8125404202847
2024-02-15,782.2547972967695
2024-02-16,782.9284747534839
2024-02-17,780.6254378665759
2024-02-18,775.8303512952629
2024-02-19,760.061421652547
2024-02-20,769.179413198093
2024-02-21,769.9615345716521
2024-02-22,769.6625518859147
2024-02-23,770.6495676945892
2024-02-24,768.6285353244455
2024-02-25,765.4253855184334
2024-02-26,750.6853482261711
2024-02-27,745.6615689685424
2024-02-28,745.252092681554
2024-02-29,745.6312373917295
